t,frame,offset,heading,steer_cmd,servo_target_deg,servo_actual_deg,throttle,rows_found,lane_width_px,lines_visible
0.1209,1,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.1947,2,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.2564,3,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.3167,4,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.3745,5,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.4314,6,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.4880,7,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.5454,8,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.6018,9,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.6600,10,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.7163,11,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.7741,12,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.8340,13,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.9012,14,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.9601,15,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
1.0187,16,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
1.0769,17,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
1.1368,18,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
1.1973,19,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
1.2563,20,0.00000,0.00000,0.00000,75.00,75.00,0.0000,1,56.00,0
1.3165,21,-0.15542,0.03289,-0.20728,82.25,82.00,0.1282,7,55.80,1
1.3744,22,-0.17406,-0.06026,-0.25191,83.82,83.00,0.1235,6,55.82,1
1.4335,23,-0.18316,-0.10740,-0.25946,84.08,84.00,0.1228,6,55.82,1
1.4918,24,-0.18794,-0.12816,-0.25092,83.78,83.00,0.1237,6,55.84,1
1.5562,25,-0.14271,-0.09173,-0.04991,76.75,76.00,0.1448,15,55.10,1
1.6171,26,-0.09900,-0.10957,0.07968,73.80,73.00,0.1416,11,55.09,1
1.6785,27,-0.06402,-0.40110,0.14646,72.80,72.00,0.1346,12,57.63,1
1.7388,28,0.00000,-0.23794,0.26178,71.07,71.00,0.1225,12,56.42,1
1.8002,29,0.02524,-0.36081,0.30961,70.36,70.00,0.1175,13,63.98,1
1.8614,30,0.07439,-0.16539,0.39161,69.13,69.00,0.1089,13,67.13,1
1.9210,31,0.05056,-0.04186,0.21178,71.82,71.00,0.1278,11,73.82,1
1.9800,32,0.00000,-0.01369,-0.04143,76.45,76.00,0.1456,12,73.82,1
2.0407,33,-0.03030,0.12729,-0.11684,79.09,79.00,0.1377,10,73.82,1
2.1042,34,0.00000,0.11359,-0.01281,75.45,75.00,0.1487,8,73.82,1
2.1669,35,0.02373,0.05422,0.09118,73.63,73.00,0.1404,9,75.19,1
2.2273,36,0.04738,0.12426,0.14884,72.77,72.00,0.1344,6,75.19,1
2.2911,37,0.12546,-0.17931,0.38419,69.24,69.00,0.1097,5,75.19,1
